STATE,STATEA,COUNTY,COUNTYA,num_vehicles,tot_vehicles,st_cnty_name
Alabama,1,Lowndes County,85,2,1104,"Lowndes County, Alabama"
Alabama,1,Lowndes County,85,3,781,"Lowndes County, Alabama"
Alabama,1,Lowndes County,85,4,139,"Lowndes County, Alabama"
Alabama,1,Lowndes County,85,5,128,"Lowndes County, Alabama"
Alabama,1,Macon County,87,1,2849,"Macon County, Alabama"
Alabama,1,Macon County,87,2,2119,"Macon County, Alabama"
Alabama,1,Macon County,87,3,734,"Macon County, Alabama"
Alabama,1,Macon County,87,4,549,"Macon County, Alabama"
Alabama,1,Macon County,87,5,300,"Macon County, Alabama"
Alabama,1,Madison County,89,1,48389,"Madison County, Alabama"
Alabama,1,Madison County,89,2,56424,"Madison County, Alabama"
Alabama,1,Madison County,89,3,23834,"Madison County, Alabama"
Alabama,1,Madison County,89,4,9352,"Madison County, Alabama"
Alabama,1,Madison County,89,5,3221,"Madison County, Alabama"
Alabama,1,Marengo County,91,1,3045,"Marengo County, Alabama"
Alabama,1,Marengo County,91,2,2067,"Marengo County, Alabama"
Alabama,1,Marengo County,91,3,775,"Marengo County, Alabama"
Alabama,1,Marengo County,91,4,546,"Marengo County, Alabama"
Alabama,1,Marengo County,91,5,157,"Marengo County, Alabama"
Alabama,1,Marion County,93,1,3789,"Marion County, Alabama"
Alabama,1,Marion County,93,2,4087,"Marion County, Alabama"
Alabama,1,Marion County,93,3,2159,"Marion County, Alabama"
Alabama,1,Marion County,93,4,967,"Marion County, Alabama"
Alabama,1,Marion County,93,5,287,"Marion County, Alabama"
Alabama,1,Marshall County,95,1,10607,"Marshall County, Alabama"
Alabama,1,Marshall County,95,2,13270,"Marshall County, Alabama"
Alabama,1,Marshall County,95,3,6400,"Marshall County, Alabama"
Alabama,1,Marshall County,95,4,2117,"Marshall County, Alabama"
Alabama,1,Marshall County,95,5,878,"Marshall County, Alabama"
Alabama,1,Mobile County,97,1,54409,"Mobile County, Alabama"
Alabama,1,Mobile County,97,2,56991,"Mobile County, Alabama"
Alabama,1,Mobile County,97,3,23292,"Mobile County, Alabama"
Alabama,1,Mobile County,97,4,7479,"Mobile County, Alabama"
Alabama,1,Mobile County,97,5,2949,"Mobile County, Alabama"
Alabama,1,Monroe County,99,1,2627,"Monroe County, Alabama"
Alabama,1,Monroe County,99,2,2857,"Monroe County, Alabama"
Alabama,1,Monroe County,99,3,1312,"Monroe County, Alabama"
Alabama,1,Monroe County,99,4,360,"Monroe County, Alabama"
Alabama,1,Monroe County,99,5,126,"Monroe County, Alabama"
Alabama,1,Montgomery County,101,1,33300,"Montgomery County, Alabama"
Alabama,1,Montgomery County,101,2,31064,"Montgomery County, Alabama"
Alabama,1,Montgomery County,101,3,12625,"Montgomery County, Alabama"
Alabama,1,Montgomery County,101,4,3913,"Montgomery County, Alabama"
Alabama,1,Montgomery County,101,5,1361,"Montgomery County, Alabama"
Alabama,1,Morgan County,103,1,12836,"Morgan County, Alabama"
Alabama,1,Morgan County,103,2,17667,"Morgan County, Alabama"
Alabama,1,Morgan County,103,3,8568,"Morgan County, Alabama"
Alabama,1,Morgan County,103,4,2898,"Morgan County, Alabama"
Alabama,1,Morgan County,103,5,1673,"Morgan County, Alabama"
Alabama,1,Perry County,105,1,1334,"Perry County, Alabama"
Alabama,1,Perry County,105,2,828,"Perry County, Alabama"
Alabama,1,Perry County,105,3,323,"Perry County, Alabama"
Alabama,1,Perry County,105,4,162,"Perry County, Alabama"
Alabama,1,Perry County,105,5,24,"Perry County, Alabama"
Alabama,1,Pickens County,107,1,2226,"Pickens County, Alabama"
Alabama,1,Pickens County,107,2,2176,"Pickens County, Alabama"
Alabama,1,Pickens County,107,3,1545,"Pickens County, Alabama"
Alabama,1,Pickens County,107,4,601,"Pickens County, Alabama"
Alabama,1,Pickens County,107,5,302,"Pickens County, Alabama"
Alabama,1,Pike County,109,1,4465,"Pike County, Alabama"
Alabama,1,Pike County,109,2,3817,"Pike County, Alabama"
Alabama,1,Pike County,109,3,1656,"Pike County, Alabama"
Alabama,1,Pike County,109,4,518,"Pike County, Alabama"
Alabama,1,Pike County,109,5,335,"Pike County, Alabama"
Alabama,1,Randolph County,111,1,2300,"Randolph County, Alabama"
Alabama,1,Randolph County,111,2,3093,"Randolph County, Alabama"
Alabama,1,Randolph County,111,3,1724,"Randolph County, Alabama"
Alabama,1,Randolph County,111,4,643,"Randolph County, Alabama"
Alabama,1,Randolph County,111,5,377,"Randolph County, Alabama"
Alabama,1,Russell County,113,1,7527,"Russell County, Alabama"
Alabama,1,Russell County,113,2,8127,"Russell County, Alabama"
Alabama,1,Russell County,113,3,3643,"Russell County, Alabama"
Alabama,1,Russell County,113,4,1096,"Russell County, Alabama"
Alabama,1,Russell County,113,5,474,"Russell County, Alabama"
